id,name,long,lat
98,Downer Neighbourhood oval,149.14422018,-35.24598390
99,Duffy Neighbourhood oval,149.03574693,-35.33612419
100,Evatt Neighbourhood oval,149.07635810,-35.20541515
101,Evatt Informal use oval,149.06483000,-35.21222325
102,Farrer Informal use oval,149.10485324,-35.37728593
103,Florey Informal use oval,149.05372256,-35.22467697
104,Flynn Informal use oval,149.04307100,-35.20754778
105,Franklin Community Recreational Irrigated Park,149.14370363,-35.19742566
106,Garran Neighbourhood oval,149.10219341,-35.34272642
107,Gilmore Informal use oval,149.13465839,-35.41763448
108,Gordon District Playing Fields,149.08880827,-35.45964360
109,Gordon District Playing Fields,149.09275475,-35.46013998
110,Gowrie District Playing Fields,149.11485594,-35.41278336
111,Greenway Enclosed Oval,149.06296747,-35.42299557
112,Griffith Neighbourhood oval,149.13390489,-35.32540108
113,Flinders Oval,149.12909852,-35.32862195
114,Gungahlin Enclosed Oval,149.12716593,-35.18491756
115,Hackett Neighbourhood oval,149.16074496,-35.25136773
116,Hall Showground,149.07338910,-35.17058905
117,Higgins Informal use oval,149.02438233,-35.23033409
118,Holder Informal use oval,149.04347475,-35.33952033
119,Holt Informal use oval,149.01438885,-35.22051208
120,Hughes Neighbourhood oval,149.08777628,-35.33228064
121,Isabella Plains Neighbourhood oval,149.08812352,-35.42493735
122,Kaleen Neighbourhood oval,149.11410798,-35.22254578
123,Kaleen Informal use oval,149.10568676,-35.23450615
124,Kambah District Playing Fields,149.05521885,-35.38233230
125,Kambah District Playing Fields,149.06078911,-35.38277069
126,Kambah District Playing Fields,149.06409744,-35.38942828
127,Latham Neighbourhood oval,149.03529928,-35.21828972
